,thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
,1,"Abdnor, James",14000,93,1973,SD,2,0,0,1972,0,0,0,55,3025,0.228,0.275,0.5475,6,0,0,0,0,0,1,1,1,0.104,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0.10957,
,2,"Abzug, Bella",13001,93,1973,NY,20,1,1,1970,1,0,0,56,3136,-0.687,0.64,0.3675,39,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,8,1,1,1,1,136,1,1,1,1,0.762431,
,3,"Adams, Brock",10700,93,1973,WA,7,1,1,1964,0,0,0,85,7225,-0.361,0.314,0.0415,7,0,0,1,0,1,5,25,0,0,0,0,0,0,2,1,1,1,0,33,1,1,1,1,2,0,0,0,0,37,2,2,2,1,1.236478,
,4,"Addabbo, Joseph",10500,93,1973,NY,7,1,1,1960,0,0,0,75,5625,-0.4,0.353,0.0805,39,0,0,1,1,0,7,49,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,38,0,0,0,0,0.155052,
,5,"Albert, Carl",,93,1973,OK,3,,0,1946,0,0,0,93,8649,,,,6,1,0,0,0,0,14,196,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.001034,
,6,"Alexander, Bill",12000,93,1973,AR,1,1,1,1968,0,0,0,100,10000,-0.281,0.234,0.0385,4,0,0,1,0,0,3,9,0,0,0,0,1,1,2,2,2,1,1,51,1,1,1,0,0,0,0,0,0,53,3,3,2,1,1.875051,
,7,"Anderson, John",10501,93,1973,IL,16,0,0,1960,0,0,0,72,5184,0.102,0.149,0.4215,24,0,0,0,1,0,7,49,0,0,0,1,0,0,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0.289431,
,8,"Anderson, Glenn",12001,93,1973,CA,35,1,1,1968,0,0,0,75,5625,-0.293,0.246,0.0265,43,0,0,0,0,0,3,9,1,0.526,0,0,0,0,1,0,0,0,0,84,0,0,0,0,2,0,0,0,0,87,0,0,0,0,0.446551,
,9,"Andrews, Ike",14001,93,1973,NC,4,1,1,1972,0,0,0,50,2500,-0.098,0.051,0.2215,11,0,0,0,0,0,1,1,1,0.19,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.087863,
,10,"Andrews, Mark",10569,93,1973,ND,1,0,0,1963,0,0,0,73,5329,0.106,0.153,0.4255,1,0,0,0,1,0,6,36,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0.106469,
,11,"Annunzio, Frank",10703,93,1973,IL,11,1,1,1964,0,0,0,53,2809,-0.403,0.356,0.0835,24,0,0,1,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,46,1,1,1,0,7,1,1,1,1,53,2,2,2,1,0.627665,
,12,"Archer, Bill",13002,93,1973,TX,7,0,0,1970,0,0,0,82,6724,0.464,0.511,0.7835,24,0,0,0,1,0,2,4,1,0.191,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.180894,
,13,"Arends, Leslie",226,93,1973,IL,15,0,0,1934,0,0,0,57,3249,0.296,0.343,0.6155,24,0,0,0,0,0,20,400,,,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.015505,
,14,"Armstrong, William",14002,93,1973,CO,5,0,0,1972,0,0,0,62,3844,0.441,0.488,0.7605,5,0,0,0,0,0,1,1,1,0.284,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,1,1,1,11,1,1,1,1,0.137054,
,15,"Ashbrook, John",10502,93,1973,OH,17,0,0,1960,0,0,0,57,3249,0.601,0.648,0.9205,23,0,0,0,0,0,7,49,1,0.355,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0.171591,
,16,"Ashley, Thomas",267,93,1973,OH,9,1,1,1954,0,0,0,69,4761,-0.329,0.282,0.0095,23,0,0,1,0,1,10,100,0,0,0,0,0,0,5,5,5,5,2,23,0,0,0,0,0,0,0,0,0,28,5,5,5,2,3.763124,
,17,"Aspin, Les",13003,93,1973,WI,1,1,1,1970,0,0,0,64,4096,-0.382,0.335,0.0625,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,2,0,0,0,0,93,0,0,0,0,0.472393,
,18,"Badillo, Herman",13004,93,1973,NY,21,1,1,1970,0,0,1,87,7569,-0.619,0.572,0.2995,39,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0.212938,
,19,"Bafalis, L.",14003,93,1973,FL,10,0,0,1972,0,0,0,62,3844,0.293,0.34,0.6125,15,0,0,0,0,0,1,1,1,0.224,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.051684,
,20,"Baker, LaMar",13005,93,1973,TN,3,0,0,1970,0,0,0,55,3025,0.339,0.386,0.6585,8,0,0,0,0,0,2,4,1,0.149,0,0,1,0,0,0,0,0,0,32,2,2,1,1,3,0,0,0,0,35,2,2,1,1,0.818846,
,21,"Barrett, William",465,93,1973,PA,1,1,1,1948,0,0,0,66,4356,-0.477,0.43,0.1575,25,0,0,1,0,0,13,169,0,0,0,0,0,0,3,2,2,2,1,22,0,0,0,0,3,0,0,0,0,28,2,2,2,1,1.654023,
,22,"Bauman, Robert",14069,93,1973,MD,1,0,0,1973,0,0,0,,,0.501,0.548,0.8205,8,0,0,0,0,0,1,1,1,0.252,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.062021,
,23,"Beard, Robin",14004,93,1973,TN,6,0,0,1972,0,0,0,55,3025,0.397,0.444,0.7165,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0.047549,
,24,"Bell, Alphonzo",10505,93,1973,CA,28,0,0,1960,0,0,0,61,3721,0.181,0.228,0.5005,43,0,0,0,0,0,7,49,0,0,0,0,0,0,1,0,0,0,0,35,0,0,0,0,4,1,1,0,0,40,1,1,0,0,0.232832,
,25,"Benitez, Jamie",,93,1973,PR,1,,0,,0,0,1,,,,,,1,0,0,0,0,0,,,0,,0,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,12,0,0,0,0,0.057886,
,26,"Bennett, Charles",633,93,1973,FL,3,1,1,1948,0,0,0,82,6724,-0.061,0.014,0.2585,15,0,0,1,0,0,13,169,1,0.224,0,0,1,1,0,0,0,0,0,86,1,1,0,0,2,1,1,1,1,88,2,2,1,1,0.726485,
,27,"Bergland, Bob",13007,93,1973,MN,7,1,1,1970,0,0,0,59,3481,-0.359,0.312,0.0395,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0.125075,
,28,"Bevill, Tom",11000,93,1973,AL,4,1,1,1966,0,0,0,70,4900,-0.124,0.077,0.1955,7,0,0,0,1,0,4,16,1,0.085,0,0,1,1,0,0,0,0,0,16,0,0,0,0,1,1,1,1,1,17,1,1,1,1,0.176334,
,29,"Biaggi, Mario",12003,93,1973,NY,10,1,1,1968,0,0,0,94,8836,-0.311,0.264,0.0085,39,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,5,1,1,1,1,161,1,1,1,1,0.904046,
,30,"Biester, Edward",11001,93,1973,PA,8,0,0,1966,0,0,0,64,4096,-0.029,0.018,0.2905,25,0,0,0,0,0,4,16,0,0,0,0,0,0,1,0,0,0,0,20,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0.114739,
,31,"Bingham, Jonathan",10705,93,1973,NY,22,1,1,1964,0,0,0,76,5776,-0.537,0.49,0.2175,39,0,0,0,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,5,0,0,0,0,113,0,0,0,0,0.563357,
,32,"Blackburn, Ben",11002,93,1973,GA,4,0,0,1966,0,0,0,76,5776,0.406,0.453,0.7255,10,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,28,0,0,0,0,3,2,2,2,2,31,2,2,2,2,0.333027,
,33,"Blatnik, John",789,93,1973,MN,8,1,1,1947,0,0,0,76,5776,-0.402,0.355,0.0825,8,0,1,0,0,0,14,196,1,0.211,0,0,0,0,5,5,5,5,3,56,2,2,2,1,1,0,0,0,0,62,7,7,7,4,5.033718,
,34,"Boggs, Corinne",14067,93,1973,LA,2,1,1,1973,1,0,0,,,-0.287,0.24,0.0325,8,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,4,1,1,1,1,12,1,1,1,1,0.138087,
,35,"Boland, Edward",830,93,1973,MA,2,1,1,1952,0,0,0,100,10000,-0.313,0.266,0.0065,12,0,0,1,1,0,11,121,1,0.386,0,0,0,0,2,2,2,2,2,33,0,0,0,0,4,0,0,0,0,39,2,2,2,2,2.047472,
,36,"Bolling, Richard",835,93,1973,MO,5,1,1,1948,0,0,0,63,3969,-0.491,0.444,0.1715,10,0,0,0,1,1,13,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,37,"Bowen, David",14005,93,1973,MS,2,1,1,1972,0,0,0,62,3844,-0.015,0.032,0.3045,5,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,24,1,1,1,1,1,0,0,0,0,25,1,1,1,1,0.588102,
,38,"Brademas, John",948,93,1973,IN,3,1,1,1958,0,0,0,55,3025,-0.471,0.424,0.1515,11,0,0,1,0,0,8,64,0,0,1,0,0,0,8,7,8,7,3,49,0,0,0,0,2,0,0,0,0,59,7,8,7,3,5.620785,
,39,"Brasco, Frank",11004,93,1973,NY,11,1,1,1966,0,0,0,64,4096,-0.44,0.393,0.1205,39,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,15,1,1,1,1,7,1,1,0,0,22,2,2,1,1,0.585254,
,40,"Bray, William",986,93,1973,IN,6,0,0,1950,0,0,0,65,4225,0.334,0.381,0.6535,11,0,0,0,0,0,12,144,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.03101,
,41,"Breaux, John",13056,93,1973,LA,7,1,1,1972,0,0,0,100,10000,-0.086,0.039,0.2335,8,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,1,1,44,0,0,0,0,0,0,0,0,0,45,1,1,1,1,1.1638,
,42,"Breckinridge, John",14006,93,1973,KY,6,1,1,1972,0,0,0,52,2704,-0.2,0.153,0.1195,7,0,0,0,0,0,1,1,1,0.078,0,0,1,1,0,0,0,0,0,4,1,1,1,1,0,0,0,0,0,4,1,1,1,1,0.4837,
,43,"Brinkley, Jack",11005,93,1973,GA,3,1,1,1966,0,0,0,100,10000,-0.013,0.034,0.3065,10,0,0,0,0,0,4,16,1,0.142,0,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0.217073,
,44,"Brooks, Jack",1077,93,1973,TX,9,1,1,1952,0,0,0,66,4356,-0.354,0.307,0.0345,24,0,0,1,0,0,11,121,1,0.191,0,0,1,1,3,3,3,3,0,12,2,2,2,1,0,0,0,0,0,15,5,5,5,1,2.586595,
,45,"Broomfield, William",1087,93,1973,MI,19,0,0,1956,0,0,0,70,4900,0.202,0.249,0.5215,19,0,0,0,0,0,9,81,1,0.463,0,0,0,0,0,0,0,0,0,40,0,0,0,0,3,0,0,0,0,43,0,0,0,0,0.209837,
,46,"Brotzman, Donald",10572,93,1973,CO,2,0,0,1962,0,0,0,66,4356,0.132,0.179,0.4515,5,0,0,0,1,0,6,36,1,0.284,0,0,0,0,2,1,1,0,0,59,0,0,0,0,4,1,1,1,1,65,2,2,1,1,0.797008,
,47,"Brown, Clarence",10786,93,1973,OH,7,0,0,1965,0,0,0,73,5329,0.283,0.33,0.6025,23,0,0,0,0,0,5,25,0,0,0,0,0,0,2,1,1,0,0,23,1,1,1,1,1,0,0,0,0,26,2,2,1,1,0.978265,
,48,"Brown, Gary",11006,93,1973,MI,3,0,0,1966,0,0,0,59,3481,0.26,0.307,0.5795,19,0,0,0,0,0,4,16,1,0.463,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,0,0,0,0,19,0,0,0,0,0.08993,
,49,"Brown, George",10573,93,1973,CA,38,1,1,1972,0,0,0,56,3136,-0.533,0.486,0.2135,43,0,0,0,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,47,0,0,0,0,3,1,1,1,1,50,1,1,1,1,0.338622,
,50,"Broyhill, James",10574,93,1973,NC,10,0,0,1962,0,0,0,73,5329,0.261,0.308,0.5805,11,0,0,0,0,1,6,36,0,0,0,0,1,0,1,0,0,0,0,34,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.186063,
,51,"Broyhill, Joel",1154,93,1973,VA,10,0,0,1952,0,0,0,56,3136,0.212,0.259,0.5315,10,0,0,0,1,1,11,121,0,0,0,0,1,0,2,2,2,2,0,109,1,1,1,1,38,3,3,3,0,149,6,6,6,1,2.42069,
,52,"Buchanan, John",10706,93,1973,AL,6,0,0,1964,0,0,0,60,3600,0.128,0.175,0.4475,7,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0.03101,
,53,"Burgener, Clair",14007,93,1973,CA,42,0,0,1972,0,0,0,68,4624,0.248,0.295,0.5675,43,0,0,0,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,1,1,1,11,1,1,1,1,0.137054,
,54,"Burke, Yvonne",14008,93,1973,CA,37,1,1,1972,1,1,0,73,5329,-0.59,0.543,0.2705,43,0,0,0,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,17,0,0,0,0,2,1,1,0,0,19,1,1,0,0,0.127396,
,55,"Burke, James",1265,93,1973,MA,11,1,1,1958,0,0,0,100,10000,-0.39,0.343,0.0705,12,0,0,0,1,1,8,64,0,0,0,0,0,0,1,1,1,0,0,77,0,0,0,0,6,0,0,0,0,84,1,1,0,0,0.789165,
,56,"Burke, J.",11007,93,1973,FL,12,0,0,1966,0,0,0,63,3969,0.224,0.271,0.5435,15,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0.320441,
,57,"Burleson, Omar",1282,93,1973,TX,17,1,1,1946,0,0,0,100,10000,0.181,0.228,0.5005,24,0,0,0,1,0,14,196,0,0,0,0,1,1,1,0,0,0,0,23,0,0,0,0,1,0,0,0,0,25,0,0,0,0,0.130244,
,58,"Burlison, Bill",12004,93,1973,MO,10,1,1,1968,0,0,0,64,4096,-0.373,0.326,0.0535,10,0,0,0,1,0,3,9,0,0,0,0,0,0,0,0,0,0,0,11,1,1,1,1,1,1,1,1,1,12,2,2,2,2,0.613518,
,59,"Burton, John",14076,93,1973,CA,6,1,1,1974,0,0,0,,,-0.539,0.492,0.2195,43,0,0,0,0,0,1,1,1,0.526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0.008269,
,60,"Burton, Phillip",10577,93,1973,CA,5,1,1,1964,0,0,0,82,6724,-0.658,0.611,0.3385,43,0,0,1,0,0,5,25,1,0.526,0,0,0,0,1,1,1,1,0,44,2,2,2,2,49,7,7,5,5,94,10,10,8,7,2.332562,
,61,"Butler, M.",13055,93,1973,VA,6,0,0,1972,0,0,0,55,3025,0.272,0.319,0.5915,10,0,0,0,0,0,1,1,1,0.164,0,0,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0.01137,
,62,"Byron, Goodloe",13008,93,1973,MD,6,1,1,1970,0,0,0,65,4225,0.02,0.067,0.3395,8,0,0,0,0,0,2,4,1,0.252,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0.124042,
,63,"Camp, John",12006,93,1973,OK,6,0,0,1968,0,0,0,73,5329,0.433,0.48,0.7525,6,0,0,0,0,0,3,9,1,0.249,0,0,1,0,0,0,0,0,0,16,1,1,1,0,3,1,1,1,1,19,2,2,2,1,0.468478,
